house_number,street,barangay,municipality,province,postal_code,country,address_type
Valero,Carpark Building Valero Street 1227,,Makati,City,,Philippines,
San,Antonio De Padua 2,Block 1 Lot 8 and 2,Dasmarinas,,,Philippines,
Rm,. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100,,Quezon,City,,Philippines,
460,Solanda Street Intramuros 1000,,Manila,,,Philippines,
National,Highway,Gingoog,Misamis,Occidental,,Philippines,
17/85,Stracke Via Suite 042,Poblacion,Las Piñas  Dinagat,Islands,4783,Philippines,
99,Strosin Hills,Poblacion,Bislig,Tawi-Tawi,5340,Philippines,
12A/33,Upton Isle Apt. 420,,Roxas City  Surigao del,Norte,1814,Philippines,
90A,Dibbert Terrace Apt. 190,,San Lorenzo  Davao del,Norte,6056,Philippines,
284,T. Morato corner,Scout Rallos Street,Quezon,City,,Philippines,
93/54,Shanahan Alley Apt. 183,,Santo Tomas,Masbate,1572,Philippines,
49,Springs Apt. 266,Poblacion,Taguig  Occidental,Mindoro,3200,Philippines,
42/25,Sawayn Stream,,Ubay  Zamboanga del,Norte,1208,Philippines,
37/46,Kulas Roads,,Maragondon,Quirino,0962,Philippines,
22A/52,Lubowitz Meadows,,Pililla,Zambales,4895,Philippines,
90,O'Keefe Spur Apt. 379,,Catigbian,Sulu,2772,Philippines,
89A,Armstrong Trace,,Compostela,Maguindanao,7874,Philippines,
08,Grant Drive Suite 406,Poblacion,Iloilo City  La,Union,9186,Philippines,
93A/21,Berge Points,,Tapaz,Quezon,2180,Philippines,
65,Murphy Center Suite 094,Poblacion,Palayan,Quirino,5636,Philippines,
47A/94,Larkin Plaza Apt. 179,Poblacion,Caloocan,Quirino,2751,Philippines,
06A,Gulgowski Extensions,,Bongabon  Zamboanga del,Sur,6085,Philippines,
99A,Padberg Spring,Poblacion,Mabalacat  Lanao del,Sur,3959,Philippines,
80A/48,Ledner Ridges,Poblacion,Kabankalan,Marinduque,8870,Philippines,
96/48,Watsica Flats Suite 734,Poblacion,Malolos,Ifugao,1844,Philippines,
58A,Wilderman Walks,Poblacion,Digos  Davao del,Sur,5822,Philippines,
60,Goyette Valley Suite 219,Poblacion,Tabuk  Lanao del,Sur,3159,Philippines,
66/77,Mann Views,,Luisiana  Dinagat,Islands,1263,Philippines,
72/70,Stamm Spurs,,Bustos,Iloilo,4550,Philippines,
50A/83,Bahringer Oval Suite 145,,Kiamba  Nueva,Ecija,7688,Philippines,
95,Cremin Junction,,Surallah,Cotabato,2809,Philippines,
Hi,-way,Yati,Liloan,Cebu,,Philippines,
Bulala,,,Camalaniugan,,,Philippines,
Agapita,Building,,Metro,Manila,,Philippines,
